County Name,2017,2018,Jan17,Feb17,Mar17,Apr17,May17,Jun17,Jul17,Aug17,Sep17,Oct17,Nov17,Dec17,Jan18,Feb18,Mar18,Apr18,May18,Jun18,Jul18,Aug18,Sep18,Oct18,Nov18,Dec18
Carbon,64.0,62.0,10.0,8.0,3.0,3.0,9.0,4.0,6.0,5.0,7.0,5.0,1.0,3.0,0.0,3.0,7.0,15.0,12.0,0.0,4.0,9.0,2.0,4.0,4.0,2.0
Centre,27.0,27.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,3.0,3.0,4.0,2.0,5.0,5.0,0.0,3.0,2.0,3.0,2.0,0.0,3.0,3.0,0.0,1.0
Chester,169.0,173.0,26.0,9.0,8.0,16.0,16.0,17.0,15.0,11.0,17.0,13.0,12.0,9.0,11.0,10.0,16.0,15.0,14.0,12.0,23.0,11.0,16.0,13.0,11.0,21.0
Clarion,6.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Clearfield,31.0,48.0,3.0,0.0,2.0,5.0,3.0,3.0,4.0,1.0,0.0,6.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,9.0,2.0,7.0,6.0,4.0
Clinton,9.0,12.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0
Columbia,24.0,44.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,0.0,2.0,2.0,2.0,5.0,4.0,2.0,4.0,6.0,7.0,0.0,4.0,4.0,4.0
Crawford,28.0,26.0,2.0,4.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,2.0,2.0,3.0,3.0
Cumberland,78.0,115.0,8.0,6.0,5.0,5.0,5.0,5.0,12.0,6.0,7.0,8.0,8.0,3.0,8.0,9.0,8.0,13.0,12.0,7.0,13.0,5.0,11.0,12.0,6.0,11.0
Dauphin,193.0,219.0,15.0,10.0,17.0,20.0,17.0,24.0,15.0,16.0,22.0,18.0,7.0,12.0,16.0,16.0,21.0,26.0,14.0,14.0,26.0,24.0,12.0,18.0,15.0,17.0
Delaware,299.0,336.0,35.0,22.0,30.0,32.0,24.0,26.0,32.0,15.0,23.0,28.0,20.0,12.0,14.0,22.0,38.0,35.0,30.0,34.0,30.0,21.0,25.0,37.0,14.0,36.0
Elk,12.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0
Erie,103.0,91.0,3.0,10.0,10.0,15.0,19.0,13.0,5.0,6.0,5.0,10.0,2.0,5.0,6.0,12.0,4.0,11.0,5.0,9.0,12.0,8.0,6.0,7.0,2.0,9.0
Fayette,125.0,105.0,20.0,8.0,15.0,9.0,10.0,8.0,16.0,11.0,6.0,12.0,4.0,6.0,12.0,12.0,9.0,17.0,8.0,4.0,12.0,4.0,7.0,7.0,4.0,9.0
Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin,45.0,68.0,5.0,5.0,8.0,4.0,4.0,3.0,1.0,5.0,1.0,6.0,2.0,1.0,2.0,6.0,10.0,8.0,7.0,6.0,7.0,3.0,5.0,8.0,5.0,1.0
