Week Begin Date,County Name,County Code,County FIPS Code,Latitude/Longitude,Total Intakes,Georeferenced Lat/Long
8/20/18,Northumberland,49,42097,"(40.8515092572, -76.7118842273)",2,POINT (-76.7118842273 40.8515092572)
2/27/17,Lancaster,36,42071,"(40.0459079619, -76.2513876838)",,POINT (-76.2513876838 40.0459079619)
2/6/17,Pike,52,42103,"(41.332571995, -75.0327092448)",1,POINT (-75.0327092448 41.332571995)
4/2/18,Indiana,32,42063,"(40.6529549748, -79.0933349286)",0,POINT (-79.0933349286 40.6529549748)
7/24/17,Schuylkill,54,42107,"(40.707512431, -76.223323851)",2,POINT (-76.223323851 40.707512431000005)
7/3/17,Clarion,16,42031,"(41.1927912877, -79.4248360769)",0,POINT (-79.4248360769 41.1927912877)
10/29/18,Tioga,59,42117,"(41.7733383358, -77.2578807579)",0,POINT (-77.2578807579 41.7733383358)
8/5/19,Jefferson,33,42065,"(41.1313909115, -79.0010181419)",0,POINT (-79.0010181419 41.1313909115)
8/19/19,Venango,61,42121,"(41.4034125863, -79.7628656104)",0,POINT (-79.7628656104 41.4034125863)
5/28/18,Berks,6,42011,"(40.4193963513, -75.9307732705)",4,POINT (-75.93077327050001 40.4193963513)
1/8/18,Allegheny,2,42003,"(40.4673554298, -79.9861984282)",13,POINT (-79.9861984282 40.4673554298)
4/10/17,Fulton,29,42057,"(39.9248751086, -78.1148504535)",0,POINT (-78.1148504535 39.9248751086)
2/13/17,Chester,15,42029,"(39.9748705566, -75.7562649818)",2,POINT (-75.7562649818 39.9748705566)
4/9/18,Beaver,4,42007,"(40.6834924548, -80.3510735648)",2,POINT (-80.3510735648 40.6834924548)
7/30/18,Delaware,23,42045,"(39.9165786652, -75.4062771212)",1,POINT (-75.40627712120002 39.9165786652)
1/2/17,Greene,30,42059,"(39.8548039342, -80.2294381655)",0,POINT (-80.2294381655 39.8548039342)
11/12/18,Juniata,34,42067,"(40.5343300836, -77.405775001)",0,POINT (-77.405775001 40.5343300836)
12/3/18,Erie,25,42049,"(41.9941378702, -80.0407591036)",1,POINT (-80.0407591036 41.9941378702)
7/8/19,Dauphin,22,42043,"(40.4197463597, -76.7796056802)",8,POINT (-76.7796056802 40.4197463597)
2/25/19,Wyoming,66,42131,"(41.5189248803, -76.0181300338)",0,POINT (-76.0181300338 41.5189248803)
11/26/18,Monroe,45,42089,"(41.0609178653, -75.3408360302)",3,POINT (-75.3408360302 41.0609178653)
2/26/18,York,67,42133,"(39.9219253124, -76.7257605231)",4,POINT (-76.7257605231 39.9219253124)
8/28/17,Washington,63,42125,"(40.1910966345, -80.2518008276)",1,POINT (-80.2518008276 40.1910966345)
4/10/17,Armstrong,3,42005,"(40.8150952555, -79.4731689893)",1,POINT (-79.4731689893 40.8150952555)
9/17/18,Susquehanna,58,42115,"(41.8205685982, -75.8025030296)",1,POINT (-75.8025030296 41.8205685982)
7/24/17,Lackawanna,35,42069,"(41.4391006428, -75.6121834524)",3,POINT (-75.6121834524 41.4391006428)
